District,District_Key,State_Code,State,Confirmed,Active,Recovered,Deceased,Migrated_Other
Siddharthnagar,UP_Siddharthnagar,UP,Uttar Pradesh,9340,50,9191,99,0
Sitapur,UP_Sitapur,UP,Uttar Pradesh,12345,20,12145,180,0
Sonbhadra,UP_Sonbhadra,UP,Uttar Pradesh,16774,41,16482,251,0
Sultanpur,UP_Sultanpur,UP,Uttar Pradesh,14827,18,14672,137,0
Unnao,UP_Unnao,UP,Uttar Pradesh,14955,24,14690,241,0
Varanasi,UP_Varanasi,UP,Uttar Pradesh,85296,135,84191,970,0
Almora,UT_Almora,UT,Uttarakhand,12019,93,11189,140,597
Bageshwar,UT_Bageshwar,UT,Uttarakhand,5649,195,5381,48,25
Chamoli,UT_Chamoli,UT,Uttarakhand,12056,105,11689,60,202
Champawat,UT_Champawat,UT,Uttarakhand,7480,82,7178,53,167
Dehradun,UT_Dehradun,UT,Uttarakhand,111223,745,106410,3491,577
Haridwar,UT_Haridwar,UT,Uttarakhand,51080,199,48606,972,1303
Nainital,UT_Nainital,UT,Uttarakhand,38797,147,37610,912,128
Pauri Garhwal,UT_Pauri Garhwal,UT,Uttarakhand,17479,151,16354,272,702
Pithoragarh,UT_Pithoragarh,UT,Uttarakhand,9945,288,9523,122,12
Rudraprayag,UT_Rudraprayag,UT,Uttarakhand,8613,83,8310,84,136
Tehri Garhwal,UT_Tehri Garhwal,UT,Uttarakhand,15748,61,14693,106,888
Udham Singh Nagar,UT_Udham Singh Nagar,UT,Uttarakhand,37535,52,35960,761,762
Uttarkashi,UT_Uttarkashi,UT,Uttarakhand,12309,44,11863,74,328
Alipurduar,WB_Alipurduar,WB,West Bengal,14163,369,13696,98,0
Bankura,WB_Bankura,WB,West Bengal,33225,823,32145,257,0
Birbhum,WB_Birbhum,WB,West Bengal,39990,228,39480,282,0
Cooch Behar,WB_Cooch Behar,WB,West Bengal,25842,1070,24682,90,0
Dakshin Dinajpur,WB_Dakshin Dinajpur,WB,West Bengal,16581,224,16190,167,0
Darjeeling,WB_Darjeeling,WB,West Bengal,50558,1833,48270,455,0
Hooghly,WB_Hooghly,WB,West Bengal,80005,1265,77871,869,0
Howrah,WB_Howrah,WB,West Bengal,92979,1272,90242,1465,0
Jalpaiguri,WB_Jalpaiguri,WB,West Bengal,38130,1305,36328,497,0
Jhargram,WB_Jhargram,WB,West Bengal,10112,484,9604,24,0
Kalimpong,WB_Kalimpong,WB,West Bengal,5650,230,5382,38,0
Kolkata,WB_Kolkata,WB,West Bengal,307956,1701,301347,4908,0
Malda,WB_Malda,WB,West Bengal,32459,137,32140,182,0
Murshidabad,WB_Murshidabad,WB,West Bengal,33379,148,32910,321,0
Nadia,WB_Nadia,WB,West Bengal,67471,1071,65763,637,0
North 24 Parganas,WB_North 24 Parganas,WB,West Bengal,315922,2560,308893,4469,0
Other State,WB_Other State,WB,West Bengal,66,0,63,3,0
Paschim Bardhaman,WB_Paschim Bardhaman,WB,West Bengal,55604,539,54729,336,0
Paschim Medinipur,WB_Paschim Medinipur,WB,West Bengal,48474,1490,46521,463,0
Purba Bardhaman,WB_Purba Bardhaman,WB,West Bengal,38887,584,38130,173,0
Purba Medinipur,WB_Purba Medinipur,WB,West Bengal,58347,2061,55928,358,0
Purulia,WB_Purulia,WB,West Bengal,19012,70,18830,112,0
South 24 Parganas,WB_South 24 Parganas,WB,West Bengal,94437,1343,91848,1246,0
Uttar Dinajpur,WB_Uttar Dinajpur,WB,West Bengal,19056,309,18518,229,0
Unknown,AN_Unknown,AN,Andaman and Nicobar Islands,7414,23,7263,128,0
Unknown,AP_Unknown,AP,Andhra Pradesh,0,0,0,0,0
Unknown,AR_Unknown,AR,Arunachal Pradesh,0,0,0,0,0
Unknown,AS_Unknown,AS,Assam,112271,-318715,428534,1105,1347
Unknown,BR_Unknown,BR,Bihar,0,0,0,0,0
Unknown,CH_Unknown,CH,Chandigarh,0,0,0,0,0
Unknown,CT_Unknown,CT,Chhattisgarh,0,0,0,0,0
Unknown,DN_Unknown,DN,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0
Unknown,DL_Unknown,DL,Delhi,1433400,592,1407832,24976,0
Unknown,GA_Unknown,GA,Goa,160070,-1385,158599,2856,0
Unknown,GJ_Unknown,GJ,Gujarat,0,0,0,0,0
Unknown,HR_Unknown,HR,Haryana,0,0,0,0,0
Unknown,HP_Unknown,HP,Himachal Pradesh,0,0,0,0,0
Unknown,JK_Unknown,JK,Jammu and Kashmir,0,0,0,0,0
Unknown,JH_Unknown,JH,Jharkhand,0,0,0,0,0
Unknown,KA_Unknown,KA,Karnataka,0,0,0,0,0
Unknown,KL_Unknown,KL,Kerala,0,0,0,0,0
Unknown,LA_Unknown,LA,Ladakh,0,0,0,0,0
Unknown,LD_Unknown,LD,Lakshadweep,0,-1,0,1,0
Unknown,MP_Unknown,MP,Madhya Pradesh,0,0,0,0,0
Unknown,MH_Unknown,MH,Maharashtra,0,0,0,0,0
Unknown,MN_Unknown,MN,Manipur,1796,-58221,59926,91,0
Unknown,ML_Unknown,ML,Meghalaya,0,0,0,0,0
Unknown,MZ_Unknown,MZ,Mizoram,0,0,0,0,0
Unknown,NL_Unknown,NL,Nagaland,0,0,0,0,0
Unknown,OR_Unknown,OR,Odisha,0,0,0,0,0
Unknown,PY_Unknown,PY,Puducherry,0,0,0,0,0
Unknown,PB_Unknown,PB,Punjab,0,0,0,0,0
Unknown,RJ_Unknown,RJ,Rajasthan,0,0,0,0,0
Unknown,SK_Unknown,SK,Sikkim,-68,-12728,12398,137,125
Unknown,TN_Unknown,TN,Tamil Nadu,0,0,0,0,0
Unknown,TG_Unknown,TG,Telangana,1055,-607470,604904,3621,0
Unknown,TR_Unknown,TR,Tripura,0,0,0,0,0
Unknown,UP_Unknown,UP,Uttar Pradesh,0,0,0,0,0
Unknown,UT_Unknown,UT,Uttarakhand,0,0,0,0,0
Unknown,WB_Unknown,WB,West Bengal,0,0,0,0,0
